"","pressureAz","con"
"1",-0.433893332036393,"S"
"2",-0.440843340362683,"S"
"3",-0.440085157636179,"S"
"4",-0.440716976574936,"S"
"5",-0.444255162631953,"S"
"6",-0.461693365341553,"S"
"7",-0.519694343919135,"S"
"8",-0.524748895429164,"S"
"9",-0.528413445273935,"S"
"10",-0.520894799902767,"S"
"11",-0.527718444441306,"S"
"12",-0.530624811559573,"S"
"13",-0.529740265045318,"S"
"14",-0.571629860684683,"S"
"15",-0.503519779087043,"S"
"16",-0.502382504997286,"S"
"17",-0.501813867952408,"S"
"18",-0.503330233405416,"S"
"19",-0.497707044850509,"S"
"20",-0.500107956817776,"S"
"21",-0.499349774091272,"S"
"22",-0.523232529976156,"S"
"23",-0.514639792409106,"S"
"24",-0.516661613013118,"S"
"25",-0.67430043823215,"S"
"26",-0.41468603629828,"S"
"27",-0.419424678338935,"S"
"28",-0.416518311220665,"S"
"29",-0.422710136820454,"S"
"30",-0.418982405081808,"S"
"31",-0.425169226175147,"S"
"32",0.364473078972686,"S"
"33",0.359608073144283,"S"
"34",0.35733352496477,"S"
"35",0.367316264197078,"S"
"36",0.353289883756747,"S"
"37",0.341790779071432,"S"
"38",0.355817159511761,"S"
"39",0.351015335577233,"S"
"40",0.352658064817993,"S"
"41",0.35038351663848,"S"
"42",0.333577132867633,"S"
"43",0.336357136198149,"S"
"44",0.336799409455277,"S"
"45",0.332818950141129,"S"
"46",0.345392147022326,"S"
"47",0.325805759920964,"S"
"48",0.322773029014946,"S"
"49",0.322899392802697,"S"
"50",0.313864381978521,"S"
"51",0.297500271464802,"S"
"52",0.297437089570926,"S"
"53",0.296236633587295,"S"
"54",0.29111890018339,"S"
"55",0.278356157620567,"S"
"56",0.277218883530811,"S"
"57",0.252577944919419,"S"
"58",0.256432040445817,"S"
"59",0.25434703794793,"S"
"60",0.237667017964834,"S"
"61",0.227178823581524,"S"
"62",0.236277016299576,"S"
"63",0.225472912446889,"S"
"64",0.221302907451115,"S"
"65",0.237540654177083,"S"
"66",0.29370935783228,"S"
"67",0.322899392802698,"S"
"68",0.32953349165961,"S"
"69",0.329596673553486,"S"
"70",0.431445886480571,"S"
"71",0.460825467132614,"S"
"72",0.453040246099615,"S"
"73",-1.17198421628838,"S"
"74",-1.17059421462312,"S"
"75",-1.15574646956241,"S"
"76",-1.17767058673716,"S"
"77",-1.17425876446789,"S"
"78",-1.16970966810886,"S"
"79",-1.17362694552914,"S"
"80",-1.16193829516219,"S"
"81",-1.17280558090876,"S"
"82",-1.1719210343945,"S"
"83",-1.17350058174139,"S"
"84",-1.17748104105553,"S"
"85",-1.18095604521868,"S"
"86",-1.17792331431266,"S"
"87",-1.16547648121921,"S"
"88",-1.17931331597792,"S"
"89",-1.17520649287602,"S"
"90",-1.17230012575775,"S"
